time,x-acceleration,y-acceleration,z-acceleration
6.780,0.056,0.087,0.943
6.800,0.053,0.086,0.995
6.820,0.025,0.080,0.996
6.840,0.011,0.080,1.012
6.860,0.014,0.082,1.042
6.880,0.019,0.087,1.046
6.900,0.024,0.087,1.000
6.920,0.035,0.107,0.923
6.940,0.036,0.130,0.830
6.960,0.051,0.117,0.734
6.980,0.033,0.100,0.628
7.000,0.021,0.132,0.480
7.020,-0.003,0.186,0.386
7.040,-0.179,0.032,0.772
7.060,-0.209,-0.253,1.752
7.080,-0.250,-0.400,2.000
7.100,-0.255,-0.120,1.471
7.120,-0.225,0.180,1.179
7.140,-0.129,0.104,1.238
7.160,-0.115,0.011,1.217
7.180,-0.071,-0.040,1.014
7.200,0.045,0.048,0.870
7.220,0.072,0.092,0.715
7.240,0.027,0.037,0.522
7.260,0.003,0.065,0.625
7.280,-0.007,0.140,0.865
7.300,0.067,0.093,0.914
7.320,0.080,0.071,0.941
7.340,0.056,0.123,1.106
7.360,0.056,0.170,1.181
7.380,0.004,0.190,1.155
7.400,0.060,0.107,0.889
7.420,0.140,0.074,0.672
7.440,0.094,0.018,0.838
7.460,0.086,-0.100,1.054
7.480,0.079,0.037,0.895
7.500,0.064,0.067,0.977
7.520,0.068,0.068,1.077
7.540,0.068,0.072,0.961
7.560,0.088,0.083,0.922
7.580,0.075,0.102,0.991
7.600,0.067,0.111,1.003
7.620,0.074,0.116,0.962
7.640,0.079,0.122,0.962
7.660,0.071,0.142,0.979
7.680,0.039,0.313,1.108
7.700,0.106,0.236,0.873
7.720,0.104,0.185,0.842
7.740,0.067,0.233,1.048
7.760,0.071,0.133,0.953
7.780,0.063,0.140,1.011
7.800,0.081,0.156,1.010
7.820,0.075,0.119,0.918
7.840,0.080,0.101,0.975
7.860,0.071,0.116,1.002
7.880,0.076,0.130,0.961
7.900,0.079,0.127,0.964
7.920,0.074,0.121,0.988
7.940,0.075,0.122,0.974
7.960,0.077,0.130,0.961
7.980,0.071,0.154,0.990
8.000,0.068,0.228,1.023
8.020,0.094,0.189,0.894
8.040,0.078,0.190,0.961
8.060,0.078,0.173,0.991
8.080,0.070,0.144,0.954
8.100,0.074,0.148,1.007
8.120,0.074,0.140,0.982
8.140,0.080,0.126,0.949
8.160,0.078,0.125,0.974
8.180,0.070,0.154,0.999
8.200,0.076,0.185,0.979
8.220,0.083,0.171,0.938
8.240,0.077,0.176,0.981
8.260,0.076,0.164,0.967
8.280,0.076,0.156,0.968
8.300,0.075,0.150,0.987
8.320,0.074,0.140,0.972
8.340,0.075,0.146,0.975
8.360,0.076,0.157,0.978
8.380,0.077,0.165,0.967
8.400,0.077,0.168,0.969
8.420,0.079,0.166,0.971
8.440,0.077,0.159,0.970
8.460,0.077,0.156,0.974
8.480,0.076,0.153,0.975
